,operation,file_size_mb,client_pool_size,server_pool_size,executor_type,avg_duration,median_duration,min_duration,max_duration,avg_throughput,median_throughput,min_throughput,max_throughput,success_count,fail_count,success_rate
0,download,10,1,1,process,0.191218614578247,0.191218614578247,0.191218614578247,0.191218614578247,54836502.309816726,54836502.309816726,54836502.309816726,54836502.309816726,1,0,1.0
1,download,10,5,1,process,0.4772702693939209,0.4742147922515869,0.1990647315979004,0.7518777847290039,27371035.745253224,22111836.600906685,13946096.311090425,52675126.90887228,5,0,1.0
2,download,10,50,1,process,4.563776717185974,4.572321176528931,0.2228145599365234,9.020466566085815,4929390.617248188,2294023.7052603336,1162440.9805389931,47060479.36448694,50,0,1.0
3,download,50,1,1,process,1.8691647052764893,1.8691647052764893,1.8691647052764893,1.8691647052764893,28049320.561210077,28049320.561210077,28049320.561210077,28049320.561210077,1,0,1.0
4,download,50,5,1,process,5.4804675579071045,5.397585868835449,1.9093458652496336,9.315276861190796,12917713.649134342,9713379.513369692,5628259.984244622,27459037.64960116,5,0,1.0
5,download,50,50,1,process,79.29405130386353,78.2864043712616,3.230621814727783,161.03818440437317,1628271.2784313972,670120.1010349438,325567.5055820875,16228702.400567962,50,0,1.0
6,download,100,1,1,process,6.29468560218811,6.29468560218811,6.29468560218811,6.29468560218811,16658115.532180067,16658115.532180067,16658115.532180067,16658115.532180067,1,0,1.0
7,download,100,5,1,process,20.58903288841248,20.558269023895264,6.778952598571777,35.039968729019165,7079798.502029809,5100507.240085342,2992514.086154413,15468112.289513856,5,0,1.0
8,download,100,50,1,process,153.74915969848632,153.98084092140198,8.107882022857666,298.71932911872864,1404226.561179206,681243.1236113007,351023.8199494731,12932797.94949981,50,0,1.0
9,upload,10,1,1,process,0.1646597385406494,0.1646597385406494,0.1646597385406494,0.1646597385406494,63681383.76104241,63681383.76104241,63681383.76104241,63681383.76104241,1,0,1.0
10,upload,10,5,1,process,0.3314521789550781,0.3219494819641113,0.1776881217956543,0.4829316139221191,35453171.11315362,32569581.836348098,21712722.252411924,59012160.71189543,5,0,1.0
11,upload,10,50,1,process,2.433742527961731,2.461929202079773,0.185748815536499,4.478404521942139,7623623.146133234,4259971.748239873,2341405.281417648,56451288.63790565,50,0,1.0
12,upload,50,1,1,process,2.038011312484741,2.038011312484741,2.038011312484741,2.038011312484741,25725470.550052475,25725470.550052475,25725470.550052475,25725470.550052475,1,0,1.0
13,upload,50,5,1,process,5.810964250564576,5.899898290634155,2.0137503147125244,9.66315984725952,12226883.830092492,8886390.479515309,5425637.247930742,26035402.51090391,5,0,1.0
14,upload,50,50,1,process,40.51421821117401,40.77996361255646,3.5412797927856445,76.52320742607117,2283650.104172797,1286063.6395287702,685135.9445518708,14805043.110913984,50,0,1.0
15,upload,100,1,1,process,5.849496841430664,5.849496841430664,5.849496841430664,5.849496841430664,17925917.876785114,17925917.876785114,17925917.876785114,17925917.876785114,1,0,1.0
16,upload,100,5,1,process,17.013222455978394,17.064722776412964,6.09454083442688,27.88630175590515,8171250.313546236,6144699.880207563,3760183.0790558495,17205168.17406157,5,0,1.0
